No,Word,Parts of Speech,IPA,Vietnamese,Example
329,pond,n,/pɑːnd/,"Ao, hồ nhỏ","There are three green frogs jumping around the duck pond. 
(Có ba chú ếch xanh đang nhảy quanh hồ vịt.)"
330,poor,adj,/pʊr/,Nghèo / Tội nghiệp,"Oh, poor little kitten! It got completely wet in the rain. 
(Ôi, chú mèo con tội nghiệp! Nó đã bị ướt sũng dưới trời mưa.)"
331,pop music,n,/ˈpɑːp mjuːzɪk/,Nhạc pop,"My older sister loves listening to energetic pop music. 
(Chị gái tớ rất thích nghe nhạc pop đầy sôi động.)"
332,popular,adj,/ˈpɑːpjələr/,"Phổ biến, được yêu thích","Football is the most popular sport at my school. 
(Bóng đá là môn thể thao được yêu thích nhất ở trường tớ.)"
333,post,v/n,/poʊst/,Gửi bưu điện / Thư,"Don't forget to post this Christmas card to your grandpa. 
(Đừng quên gửi tấm thiệp Giáng sinh này cho ông nội của con nhé.)"
334,post office,n,/ˈpoʊst ɑːfɪs/,Bưu điện,"I went to the post office to buy some colorful stamps. 
(Tớ đã đến bưu điện để mua một vài con tem đầy màu sắc.)"
335,postcard,n,/ˈpoʊstkɑːrd/,Bưu thiếp,"She sent me a lovely postcard from her holiday in Singapore. 
(Cô ấy đã gửi cho tớ một tấm bưu thiếp dễ thương từ kỳ nghỉ của cô ấy ở Singapore.)"
336,prefer,v,/prɪˈfɜːr/,Thích hơn,"I prefer drinking fresh milk to drinking sweet soda. 
(Tớ thích uống sữa tươi hơn là uống nước ngọt.)"
337,prepare,v,/prɪˈper/,Chuẩn bị,"We need to prepare our backpacks for the school camping trip. 
(Chúng mình cần chuẩn bị ba lô cho chuyến cắm trại của trường.)"
338,prize,n,/praɪz/,Giải thưởng,"He won the first prize in the English speaking competition. 
(Cậu ấy đã giành giải nhất trong cuộc thi hùng biện tiếng Anh.)"
339,problem,n,/ˈprɑːbləm/,Vấn đề / Bài toán,"This math problem is a bit hard, but I can solve it. 
(Bài toán này hơi khó một chút, nhưng tớ có thể giải được.)"
340,programme (US program),n,/ˈproʊɡræm/,Chương trình,"My favorite nature programme about wild animals starts now. 
(Chương trình thiên nhiên yêu thích của tớ về động vật hoang dã bắt đầu ngay bây giờ.)"
341,project,n,/ˈprɑːdʒekt/,"Dự án, bài tập lớn","Our group is doing a science project about insects. 
(Nhóm của chúng tớ đang làm một bài tập khoa học về các loài côn trùng.)"
342,pull,v,/pʊl/,Kéo,"You need to pull the door strongly to open it. 
(Cậu cần phải kéo mạnh chiếc cửa này ra để mở nó đấy.)"
343,push,v,/pʊʃ/,Đẩy,"Don't pull the heavy cart; it is easier to push it. 
(Đừng kéo chiếc xe đẩy nặng đó; đẩy nó đi thì sẽ dễ dàng hơn.)"
344,puzzle,n,/ˈpʌzl/,"Trò chơi đố vui, xếp hình","Let's solve this fun crossword puzzle together during break time. 
(Hãy cùng nhau giải trò chơi ô chữ vui nhộn này trong giờ giải lao nhé.)"
345,pyjamas (US pajamas),n,/pəˈdʒæməz/,Bộ đồ ngủ,"I always put on my favorite blue pajamas before going to bed. 
(Tớ luôn mặc bộ đồ ngủ màu xanh yêu thích trước khi đi ngủ.)"
346,pyramid,n,/ˈpɪrəmɪd/,Hình chóp / Kim tự tháp,"We saw pictures of the ancient stone pyramids in Egypt. 
(Chúng tớ đã nhìn thấy những bức ảnh về các kim tự tháp bằng đá cổ xưa ở Ai Cập.)"
347,quarter,n,/ˈkwɔːrtər/,Một phần tư (15 phút),"It is a quarter past ten, so let's finish our game. 
(Bây giờ là mười giờ mười lăm rồi, chúng mình dừng trò chơi thôi nào.)"
348,queen,n/v,/kwiːn/,Nữ hoàng,"The queen waved kindly to everyone from her golden carriage. 
(Nữ hoàng đã vẫy tay chào mọi người một cách thân thiện từ chiếc xe ngựa bằng vàng.)"
349,quite,adv,/kwaɪt/,"Khá, hoàn toàn","The English test yesterday was quite long but not too hard. 
(Bài kiểm tra tiếng Anh ngày hôm qua khá dài nhưng không quá khó.)"
350,quiz,n,/kwɪz/,"Cuộc thi đố vui, bài kiểm tra ngắn","Our teacher gave us a fun vocabulary quiz this morning. 
(Sáng nay cô giáo đã cho chúng tớ làm một bài trắc nghiệm từ vựng rất vui.)"
351,race,n/v,/reɪs/,Cuộc đua / Đua tốc độ,"The children had a running race in the school yard. 
(Lũ trẻ đã có một cuộc đua chạy bộ ở sân trường.)"
352,racing (car; bike),n,/ˈreɪsɪŋ/,Đua (xe ô tô; xe đạp),"My brother loves watching exciting car racing on TV. 
(Anh trai tớ rất thích xem đua xe ô tô đầy kịch tính trên ti vi.)"
353,railway,n,/ˈreɪlweɪ/,"Đường ray, đường sắt","The train is moving fast along the railway. 
(Đoàn tàu đang di chuyển nhanh trên đường ray.)"
354,ready,adj,/ˈredi/,Sẵn sàng,"Are you ready for the English speaking competition? 
(Con đã sẵn sàng cho cuộc thi hùng biện tiếng Anh chưa?)"
355,remember,v,/rɪˈmembər/,"Nhớ, ghi nhớ","Please remember to turn off the lights before you leave. 
(Hãy nhớ tắt đèn trước khi ra về nhé.)"
356,repair,v,/rɪˈper/,Sửa chữa,"The mechanic can repair my dad's broken car easily. 
(Người thợ máy có thể sửa chiếc xe ô tô bị hỏng của bố tớ một cách dễ dàng.)"
357,repeat,v/n,/rɪˈpiːt/,"Nhắc lại, lặp lại","Could you please repeat the question, teacher? 
(Thưa thầy/cô, thầy/cô có thể nhắc lại câu hỏi được không ạ?)"
358,restaurant,n,/ˈrestərɑːnt/,Nhà hàng,"Our family had a delicious dinner at a pizza restaurant. 
(Gia đình tớ đã có một bữa tối ngon miệng tại một nhà hàng pizza.)"
359,rich,adj,/rɪtʃ/,Giàu có,"The rich king lived in a huge and beautiful castle. 
(Vị vua giàu có đã sống trong một tòa lâu đài to lớn và xinh đẹp.)"
360,Richard,n,/ˈrɪtʃərd/,Ri-chat,"Richard helped his mother cook dinner. 
(Ri-chat đã giúp mẹ nấu bữa tối.)"
361,right,adj/adv,/raɪt/,Đúng / Ngay lập tức,"Your answer is exactly right! Excellent job! 
(Câu trả lời của con hoàn toàn đúng rồi! Xuất sắc lắm!)"
362,right (as in direction),n/adj/adv,/raɪt/,"Bên phải, hướng phải","Turn right at the corner to see the big bookstore. 
(Hãy rẽ phải ở góc đường để thấy hiệu sách lớn.)"
363,ring,n/v,/rɪŋ/,Chiếc nhẫn / Rung chuông,"My mother wears a beautiful gold ring on her finger. 
(Mẹ tớ đeo một chiếc nhẫn vàng rất đẹp trên ngón tay.)"
364,Robert,n,/ˈrɑːbərt/,Rô-bớt,"Robert rides his bicycle to school every day. 
(Rô-bớt đi xe đạp đến trường mỗi ngày.)"
365,rock music,n,/ˈrɑːk mjuːzɪk/,Nhạc rock,"The drums are very loud when they play rock music. 
(Tiếng trống kêu rất to khi họ chơi nhạc rock.)"
366,rocket,n/v,/ˈrɑːkɪt/,Tên lửa,"The giant rocket flew high up into dark space. 
(Chiếc tên lửa khổng lồ đã bay cao vút vào không gian tối thẳm.)"
367,rucksack (US backpack),n,/ˈrʌksæk/,Ba lô," 
(Đã có mục từ ""backpack"" theo giọng Mỹ)"
368,salt,n,/sɔːlt/,Muối,"Don't put too much salt in the soup; it will taste bad. 
(Đừng cho quá nhiều muối vào súp; nó sẽ bị dở đấy.)"
369,same,adj/pron,/seɪm/,"Giống nhau, cùng một","The twins are wearing the same green T-shirts today. 
(Hai bạn sinh đôi hôm nay đang mặc những chiếc áo phông màu xanh giống nhau.)"
370,Sarah,n,/ˈserə/,Xa-ra,"Sarah draws beautiful pictures in her notebook. 
(Xa-ra vẽ những bức tranh đẹp trong cuốn vở của mình.)"
371,save,v,/seɪm/,Tiết kiệm / Cứu,"I put coins in my piggy bank to save money for a bike. 
(Tớ bỏ tiền xu vào lợn đất để tiết kiệm tiền mua xe đạp.)"
372,science,n,/ˈsaɪəns/,Khoa học,"We learn about planets and insects in science class. 
(Chúng tớ học về các hành tinh và côn trùng trong tiết khoa học.)"
373,scissors,n,/ˈsɪzərz/,Cái kéo,"Use those plastic scissors to cut the colorful paper. 
(Hãy dùng chiếc kéo nhựa kia để cắt tờ giấy màu nhé.)"
374,score,n/v,/skɔːr/,Điểm số / Ghi bàn,"He managed to score a great goal in the football match. 
(Cậu ấy đã ghi được một bàn thắng tuyệt vời trong trận đấu bóng đá.)"
375,screen,n,/skriːn/,Màn hình,"Please don't look at the computer screen for too long. 
(Làm ơn đừng nhìn vào màn hình máy tính quá lâu.)"
376,search,v/n,/sɜːrtʃ/,Tìm kiếm,"We can search the internet to find information about dinosaurs. 
(Chúng ta có thể tìm kiếm trên mạng để tìm thông tin về khủng long.)"
377,secret,n/adj,/ˈsiːkrət/,Bí mật,"She whispered a fun secret into her best friend's ear. 
(Cô ấy đã thì thầm một bí mật vui nhộn vào tai người bạn thân của mình.)"
378,sell,v,/sel/,Bán,"The sweet shop down the road sells delicious ice cream. 
(Cửa hàng bánh kẹo ở phía dưới đường có bán kem rất ngon.)"
379,September,n,/sepˈtembər/,tháng Chín,"The new school year begins in September. 
(Năm học mới bắt đầu vào tháng Chín.)"
380,several,det/pron,/ˈsevrəl/,"Vài, một số","There are several colorful birds sitting on the tree branch. 
(Có một vài chú chim đầy màu sắc đang đậu trên cành cây.)"
381,shampoo,n/v,/ʃæmˈpuː/,Dầu gội đầu,"This sweet strawberry shampoo makes your hair smell lovely. 
(Dầu gội dâu tây ngọt ngào này làm cho tóc con có mùi hương rất dễ chịu.)"
382,shelf,n,/ʃelf/,"Cái kệ, giá sách","Put your adventure books back onto the top shelf. 
(Hãy cất những cuốn sách phiêu lưu của con lại lên chiếc kệ trên cùng nhé.)"
383,should,modal v,/ʃʊd/,Nên,"You should eat more vegetables because they are good for you. 
(Con nên ăn nhiều rau xanh hơn vì chúng rất tốt cho con.)"
384,silver,n/adj,/ˈsɪlvər/,"Bạc, bằng bạc","The brave knight carried a shiny silver sword. 
(Người hiệp sĩ dũng cảm đã mang theo một thanh kiếm bạc sáng loáng.)"
385,since,prep/conj,/sɪns/,"Từ khi, vì","I have been interested in space since I was five years old. 
(Tớ đã thích thú với vũ trụ từ khi tớ năm tuổi.)"
386,singer,n,/ˈsɪŋər/,Ca sĩ,"The popular singer sang a beautiful song at the concert. 
(Người ca sĩ được yêu thích đã hát một bài hát rất hay tại buổi hòa nhạc.)"
387,ski,v/n,/skiː/,Trượt tuyết,"We want to learn how to ski on the snowy mountain. 
(Chúng tớ muốn học cách trượt tuyết trên ngọn núi đầy tuyết.)"
388,skyscraper,n,/ˈskaɪskreɪpər/,Nhà chọc trời,"That modern skyscraper has more than one hundred floors. 
(Tòa nhà chọc trời hiện đại đó có hơn một trăm tầng.)"
389,sledge,n/v,/sledʒ/,Xe trượt tuyết,"The children went down the hill fast on their wooden sledge. 
(Lũ trẻ đã lao xuống đồi rất nhanh trên chiếc xe trượt tuyết bằng gỗ.)"
390,sore,adj,/sɔːr/,"Đau, nhức","My throat is sore because I coughed a lot last night. 
(Cổ họng tớ bị đau vì đêm qua tớ đã ho rất nhiều.)"
391,stamp,n/v,/stæmp/,Con tem / Dậm chân,"Put a colorful stamp on the envelope before posting the letter. 
(Hãy dán một con tem sặc sỡ lên phong bì trước khi gửi thư nhé.)"
392,sound,n/v,/saʊnd/,Âm thanh / Nghe có vẻ,"Did you hear that strange sound coming from the dark room? 
(Cậu có nghe thấy âm thanh kỳ lạ phát ra từ căn phòng tối không?)"
393,stay,v/n,/steɪ/,Ở lại,"We decided to stay inside the house because of the heavy rain. 
(Chúng tớ quyết định ở lại trong nhà vì trời mưa to.)"
394,smell,v/n,/smel/,Ngửi / Có mùi hương,"These fresh flowers smell so lovely in the garden. 
(Những bông hoa tươi này tỏa hương thật dễ chịu trong vườn.)"
395,snack,n/v,/snæk/,"Đồ ăn vặt, bữa phụ","I always bring a healthy snack like an apple to school. 
(Tớ luôn mang theo một món ăn nhẹ tốt cho sức khỏe như một quả táo đến trường.)"
396,snowball,n,/ˈsnoʊbɔːl/,Quả bóng tuyết,"Tom threw a big snowball at his brother during the game. 
(Tom đã ném một quả bóng tuyết lớn vào anh trai mình trong lúc chơi.)"
397,south,n/adj/adv,/saʊθ/,Hướng nam,"The plane is flying south to the warm sunny island. 
(Chiếc máy bay đang bay về hướng nam để đến hòn đảo đầy nắng ấm áp.)"
398,step,n/v,/step/,Bước chân / Bậc thang,"Be careful and watch your step when you walk down. 
(Hãy cẩn thận và chú ý bước chân khi con đi xuống nhé.)"
399,space,n,/speɪs/,Vũ trụ / Khoảng trống,"Astronauts travel into outer space in giant rockets. 
(Các phi hành gia du hành vào vũ trụ bao la trên những chiếc tên lửa khổng lồ.)"
400,still,adv,/stɪl/,"Vẫn, vẫn còn","It is 9 p.m., but my older sister is still doing her project. 
(Đã 9 giờ tối rồi nhưng chị gái tớ vẫn đang làm dự án của chị ấy.)"
401,spaceship,n,/ˈspeɪsʃɪp/,Tàu vũ trụ,"The astronauts flew a giant spaceship to the moon. 
(Các phi hành gia đã lái một con tàu vũ trụ khổng lồ đến mặt trăng.)"
402,stone,n,/stoʊn/,"Hòn đá, viên đá","He skipped a flat stone across the surface of the pond. 
(Cậu ấy đã ném lướt một viên đá phẳng trên mặt ao.)"
403,snowboard,n,/ˈsnoʊbɔːrd/,Ván trượt tuyết,"She got a brand new red snowboard for her winter holiday. 
(Cô ấy đã có một chiếc ván trượt tuyết màu đỏ mới tinh cho kỳ nghỉ đông.)"
404,speak,v,/spiːk/,"Nói, phát biểu","I want to learn to speak English fluently and confidently. 
(Tớ muốn học cách nói tiếng Anh một cách lưu loát và tự tin.)"
405,storm,n,/stɔːrm/,Cơn bão,"The heavy rain and strong wind showed that a storm was coming. 
(Mưa to và gió lớn cho thấy một cơn bão đang đến gần.)"
406,snowboarding,n,/ˈsnoʊbɔːrdɪŋ/,Môn trượt ván tuyết,"Snowboarding is an exciting and popular winter sport. 
(Trượt ván tuyết là một môn thể thao mùa đông rất thú vị và phổ biến.)"
407,special,adj,/ˈspeʃl/,Đặc biệt,"Mom baked a special chocolate cake for my birthday party. 
(Mẹ đã nướng một chiếc bánh sô-cô-la đặc biệt cho bữa tiệc sinh nhật của tớ.)"
408,snowman,n,/ˈsnoʊmæn/,Người tuyết,"The children built a happy snowman with a carrot nose. 
(Lũ trẻ đã làm một người tuyết vui vẻ có chiếc mũi bằng cà rốt.)"
409,spend,v,/spend/,Dành (thời gian) / Tiêu (tiền),"We like to spend our weekends playing at Changi Beach Park. 
(Chúng tớ thích dành những ngày cuối tuần để vui chơi ở công viên bãi biển Changi.)"
410,straight on,adv/phrase,/streɪt ɑːn/,Đi thẳng,"Go straight on for two blocks to find the big museum. 
(Hãy đi thẳng hai dãy nhà nữa để tìm thấy bảo tàng lớn.)"
411,strange,adj,/streɪndʒ/,Kỳ lạ,"We heard a strange sound coming from the old dark cave. 
(Chúng tớ đã nghe thấy một âm thanh kỳ lạ phát ra từ hang động tối tăm cũ kỹ.)"
412,so,adv/conj,/soʊ/,Vì vậy / Quá,"The exam was quite long, so I had to write very fast. 
(Bài kiểm tra khá dài, vì vậy tớ đã phải viết rất nhanh.)"
413,spoon,n,/spuːn/,"Cái thìa, cái muỗng","Use a silver spoon to eat your hot chicken soup. 
(Hãy dùng một chiếc thìa bạc để ăn món súp gà nóng của con nhé.)"
414,strawberry,n,/ˈstrɔːberi/,Quả dâu tây,"I love spreading sweet strawberry jam on my bread. 
(Tớ thích phết mứt dâu tây ngọt ngào lên bánh mì của mình.)"
415,soap,n,/soʊp/,Xà phòng,"Wash your hands with soap before having a meal. 
(Hãy rửa tay bằng xà phòng trước khi ăn cơm nhé.)"
416,soft,adj,/sɔːft/,Mềm mại,"The little cat has very soft and beautiful white fur. 
(Chú mèo nhỏ có một bộ lông màu trắng rất mềm mại và xinh đẹp.)"
417,spot,n,/spɑːt/,"Đốm, điểm / Nơi","A ladybug is a small red insect with black spots. 
(Bọ rùa là một loài côn trùng nhỏ màu đỏ với những đốm đen.)"
418,spotted,adj,/ˈspɑːtɪd/,"Có đốm, lốm đốm","The young deer has a lovely spotted coat to hide in the forest. 
(Chú hươu non có một bộ lông đốm rất dễ thương để trốn trong rừng.)"
419,stream,n,/striːm/,Dòng suối,"Clear water flows gently down the mountain stream. 
(Dòng nước trong vắt chảy nhẹ nhàng xuống con suối trên núi.)"
420,stripe,n/v,/straɪp/,"Sọc, vằn","Zebras are special wild animals with black and white stripes. 
(Ngựa vằn là loài động vật hoang dã đặc biệt với các sọc đen và trắng.)"
421,somewhere,adv/pron,/ˈsʌmwer/,Một nơi nào đó,"I left my plastic scissors somewhere in the classroom. 
(Tớ đã bỏ quên chiếc kéo nhựa của mình ở một nơi nào đó trong lớp học.)"
422,spring,n,/sprɪŋ/,Mùa xuân,"Beautiful colorful flowers begin to open in the spring. 
(Những bông hoa màu sắc rực rỡ bắt đầu nở vào mùa xuân.)"
423,striped,adj/v,/straɪpt/,"Có sọc, kẻ sọc","He wore a comfortable striped T-shirt to the school picnic. 
(Cậu ấy đã mặc một chiếc áo phông kẻ sọc thoải mái đến buổi dã ngoại của trường.)"
424,soon,adv,/suːn/,"Sớm, chẳng mấy chốc","Don't worry, the school holiday will start very soon. 
(Đừng lo lắng, kỳ nghỉ của trường sẽ bắt đầu rất sớm thôi.)"
425,Sophia,n,/soʊˈfiːə/,Sô-phi-a,"Sophia is the top student in her class. 
(Sô-phi-a là học sinh giỏi nhất lớp.)"
426,stadium,n,/ˈsteɪdiəm/,Sân vận động,"Thousands of people went to the stadium to watch the football match. 
(Hàng ngàn người đã đến sân vận động để xem trận đấu bóng đá.)"
427,swan,n,/swɑːn/,Chim thiên nga,"A beautiful white swan is swimming elegantly on the lake. 
(Một chú chim thiên nga trắng xinh đẹp đang bơi lội thanh lịch trên hồ.)"
428,swing,n/v,/swɪŋ/,Cái xích đu / Đung đưa,"The children love to play on the swing at the playground. 
(Lũ trẻ rất thích chơi trên chiếc xích đu ở sân chơi.)"
429,student,n,/ˈstuːdnt/,"Học sinh, sinh viên","Every student in this class is working hard on the project. 
(Mỗi học sinh trong lớp này đều đang chăm chỉ làm dự án.)"
430,subject,n,/ˈsʌbdʒɪkt/,Môn học / Chủ đề,"Which school subject do you prefer, math or science? 
(Cậu thích môn học nào ở trường hơn, môn toán hay khoa học?)"
431,such,det/pron,/sʌtʃ/,"Như vậy, như thế","It was such an interesting book that I read it twice. 
(Đó quả là một cuốn sách thú vị đến nỗi tớ đã đọc nó tận hai lần.)"
432,suddenly,adv,/ˈsʌdənli/,"Đột nhiên, bỗng nhiên","Suddenly, a fluffy grey rabbit jumped out of the green bush. 
(Bỗng nhiên, một chú thỏ xám bồng bềnh nhảy ra khỏi bụi cây xanh.)"
433,sugar,n,/ˈʃʊɡər/,Đường (ăn),"Add a little sugar to the strawberry smoothie to make it sweet. 
(Hãy thêm một ít đường vào sinh tố dâu tây để làm nó ngọt nhé.)"
434,suitcase,n,/ˈsuːtkeɪs/,Vali hành lý,"She packed her colorful clothes into a large suitcase for the trip. 
(Cô ấy đã xếp quần áo rực rỡ của mình vào một chiếc vali lớn cho chuyến đi.)"
435,summer,n,/ˈsʌmər/,Mùa hè,"We often go swimming at the beach during the hot summer. 
(Chúng tớ thường đi bơi ở bãi biển suốt mùa hè nóng bức.)"
436,sunglasses,n,/ˈsʌnɡlæsɪz/,"Kính râm, kính mát","You should wear sunglasses to protect your eyes from the bright sun. 
(Con nên đeo kính râm để bảo vệ đôi mắt khỏi ánh mặt trời chói chang.)"
437,sure,adj/adv,/ʃʊr/,Chắc chắn,"Make sure you bring your backpack before leaving the house. 
(Hãy chắc chắn rằng con đã mang theo ba lô trước khi rời khỏi nhà.)"
438,surname,n,/ˈsɜːrneɪm/,Họ (tên họ),"Write your first name and your surname on the exam paper. 
(Hãy viết tên và họ của con lên trên tờ giấy thi.)"
439,surprise,n/v,/sərˈpraɪz/,Sự ngạc nhiên / Làm bất ngờ,"The secret birthday party was a wonderful surprise for him. 
(Bữa tiệc sinh nhật bí mật quả là một sự bất ngờ tuyệt vời dành cho cậu ấy.)"
440,stage (theatre),n,/steɪdʒ/,Sân khấu (nhà hát),"The talented actors stood on the stage and bowed to everyone. 
(Những diễn viên tài năng đã đứng trên sân khấu và cúi chào mọi người.)"
441,study,v/n,/ˈstʌdi/,"Học tập, nghiên cứu","I need to study hard to pass my final English test. 
(Tớ cần phải học tập chăm chỉ để vượt qua bài kiểm tra tiếng Anh cuối kỳ.)"
442,take (as in time e.g. it takes 20 minutes),v,/teɪk/,Mất (bao nhiêu thời gian),"It takes about twenty minutes to walk from my house to school. 
(Mất khoảng hai mươi phút để đi bộ từ nhà tớ đến trường.)"
443,taste,v/n,/teɪst/,Có vị / Nếm thử,"This fresh strawberry ice cream tastes absolutely delicious. 
(Món kem dâu tây tươi này có vị hoàn toàn thơm ngon.)"
444,taxi,n,/ˈtæksi/,Xe tắc-xi,"We took a yellow taxi to go to the city museum yesterday. 
(Chúng tớ đã đi một chiếc xe tắc-xi màu vàng để đến bảo tàng thành phố ngày hôm qua.)"
445,team,n,/tiːm/,"Đội, nhóm","Our school football team won the first prize in the competition. 
(Đội bóng đá trường chúng tớ đã giành giải nhất trong cuộc thi.)"
446,telephone,n/v,/ˈtelɪfoʊn/,Điện thoại,"The bank manager is talking to a customer on the telephone. 
(Người quản lý ngân hàng đang trò chuyện với một khách hàng trên điện thoại.)"
447,tent,n,/tent/,Cái lều,"The students put up a large blue tent for the camping trip. 
(Các học sinh đã dựng một chiếc lều lớn màu xanh cho chuyến cắm trại.)"
448,thank,v,/θæŋk/,Cảm ơn,"Don't forget to thank your teacher for the lovely lesson. 
(Đừng quên cảm ơn giáo viên của con vì tiết học tuyệt vời nhé.)"
449,theatre (US theater),n,/ˈθiːətər/,Nhà hát,"They went to the theater to watch an amazing musical play. 
(Họ đã đến nhà hát để xem một vở kịch nhạc kịch đầy kinh ngạc.)"
450,thousand,n/det,/ˈθaʊznd/,"Nghìn, một ngàn","There are more than one thousand books in our school library. 
(Có hơn một ngàn cuốn sách trong thư viện trường chúng tớ.)"
451,through,prep,/θruː/,"Qua, xuyên qua","The train went through the dark tunnel under the mountain. 
(Đoàn tàu đã đi xuyên qua đường hầm tối tăm dưới lòng núi.)"
452,tidy,adj/v,/ˈtaɪdi/,Gọn gàng / Dọn dẹp,"Please keep your study desk tidy and put the books away. 
(Hãy giữ cho bàn học của con gọn gàng và cất sách đi nhé.)"
453,time,n/v,/taɪm/,Thời gian / Giờ,"What time does your online English training class start? 
(Lớp học đào tạo tiếng Anh trực tuyến của con bắt đầu lúc mấy giờ?)"
454,timetable,n,/ˈtaɪmteɪbl/,"Thời khóa biểu, lịch trình","Let's check the school timetable to see our subjects today. 
(Chúng mình hãy kiểm tra thời khóa biểu của trường để xem hôm nay học những môn gì nhé.)"
455,toe,n,/toʊ/,Ngón chân,"He accidentally kicked the stone and hurt his big toe. 
(Cậu ấy vô tình đá phải hòn đá và làm đau ngón chân cái.)"
456,together,adv,/təˈɡeðər/,Cùng nhau,"The children built a wonderful snowman together in the yard. 
(Lũ trẻ đã cùng nhau làm một người tuyết tuyệt vời ở ngoài sân.)"
457,tomorrow,adv/n,/təˈmɔːroʊ/,Ngày mai,"We will visit the giant city museum tomorrow morning. 
(Chúng tớ sẽ đi thăm bảo tàng lớn của thành phố vào sáng mai.)"
458,tonight,adv/n,/təˈnaɪt/,Tối nay,"Mom is going to prepare a delicious pizza for dinner tonight. 
(Tối nay mẹ sẽ chuẩn bị một chiếc bánh pizza thơm ngon cho bữa tối.)"
459,torch (US flashlight),n,/tɔːrtʃ/,Đèn pin,"We used a flashlight to see in the dark cave. 
(Chúng tớ đã dùng đèn pin để nhìn trong hang động tối.)"
460,tortoise,n,/ˈtɔːrtəs/,Con rùa (trên cạn),"The slow tortoise walked gently along the stone path. 
(Chú rùa chậm chạp đi lại nhẹ nhàng dọc theo lối đi bằng đá.)"
461,touch,v/n,/tʌtʃ/,"Chạm vào, sờ","Please do not touch the colorful paintings in the art room. 
(Làm ơn không chạm vào những bức tranh đầy màu sắc trong phòng mỹ thuật.)"
462,tour,n/v,/tʊr/,"Chuyến tham quan, du lịch","The guide took us on a fun tour around Singapore. 
(Người hướng dẫn viên đã đưa chúng tớ đi một chuyến tham quan vui vẻ quanh Singapore.)"
463,traffic,n,/ˈtræfɪk/,Giao thông,"There is a lot of traffic on the motorway during rush hour. 
(Có rất nhiều phương tiện giao thông trên đường cao tốc vào giờ cao điểm.)"
464,trainers,n,/ˈtreɪnərz/,Giày thể thao,"He put on his favorite blue trainers for the running race. 
(Cậu ấy đã xỏ chiếc giày thể thao màu xanh yêu thích của mình cho cuộc đua chạy bộ.)"
465,tune,n,/tuːn/,Giai điệu,"The popular singer sang a song with a very catchy tune. 
(Người ca sĩ được yêu thích đã hát một bài hát với giai điệu rất bắt tai.)"
466,turn,v/n,/tɜːrn/,"Rẽ, xoay / Lượt","Now it's your turn to roll the dice and solve the puzzle. 
(Bây giờ đến lượt con đổ xúc xắc và giải câu đố rồi đấy.)"
467,turn off,v,/tɜːrn ɔːf/,Tắt đi,"Remember to turn off the computer screen before going to bed. 
(Hãy nhớ tắt màn hình máy tính trước khi đi ngủ nhé.)"
468,turn on,v,/tɜːrn ɑːn/,Bật lên,"Could you please turn on the light? The room is too dark. 
(Cậu làm ơn bật đèn lên được không? Căn phòng tối quá.)"
469,twice,adv,/twaɪs/,Hai lần,"I have read this interesting book about dinosaurs twice. 
(Tớ đã đọc cuốn sách thú vị về loài khủng long này hai lần rồi.)"
470,tyre (US tire),n,/ˈtaɪər/,Lốp xe,"The mechanic is helping my dad repair the broken car tyre. 
(Người thợ máy đang giúp bố tớ sửa chiếc lốp xe ô tô bị hỏng.)"
471,umbrella,n,/ʌmˈbrelə/,"Cái ô, cái dù","Take a colorful umbrella with you in case it rains suddenly. 
(Hãy mang theo một chiếc ô rực rỡ bên mình đề phòng trời mưa đột ngột.)"
472,unfriendly,adj,/ʌnˈfrendli/,Không thân thiện,"The guard dog looked a bit unfriendly, so we stayed away. 
(Chú chó canh gác trông có vẻ hơi không thân thiện nên chúng tớ đã tránh xa.)"
473,unhappy,adj,/ʌnˈhæpi/,"Không vui, buồn bã","The little girl felt unhappy because she lost her new bracelet. 
(Cô bé cảm thấy buồn bã vì đã làm mất chiếc vòng tay mới của mình.)"
474,uniform,n/adj,/ˈjuːnɪfɔːrm/,Đồng phục,"The students wear a neat uniform to school every Monday. 
(Các học sinh mặc đồng phục chỉnh tề đến trường vào mỗi Thứ Hai.)"
475,university,n,/ˌjuːnɪˈvɜːrsəti/,Trường đại học,"My cousin is studying science at a famous university. 
(Anh họ tớ đang học ngành khoa học tại một trường đại học nổi tiếng.)"
476,unkind,adj,/ˌʌnˈkaɪnd/,"Không tử tế, xấu tính","It is unkind to whisper secrets and laugh at other people. 
(Thật không tử tế khi thì thầm những bí mật và cười nhạo người khác.)"
477,untidy,adj,/ʌnˈtaɪdi/,Bừa bộn,"Don't leave your plastic scissors on this untidy shelf. 
(Đừng để chiếc kéo nhựa của con trên chiếc kệ bừa bộn này.)"
478,until,prep/conj,/ʌnˈtɪl/,Cho đến khi,"We stayed inside the large blue tent until the storm stopped. 
(Chúng tớ đã ở lại bên trong chiếc lều lớn màu xanh cho đến khi cơn bão dừng lại.)"
479,unusual,adj,/ʌnˈjuːʒuəl/,"Kỳ lạ, khác thường","The photographer took a picture of a very unusual insect. 
(Nhiếp ảnh gia đã chụp được bức ảnh về một loài côn trùng rất kỳ lạ.)"
480,use,v/n,/juːz/,Sử dụng,"You should use soap to wash your hands carefully. 
(Con nên sử dụng xà phòng để rửa tay thật cẩn thận.)"
